0,02-JAN-2021,Learjet 31A,PP-BBV,Brasil Vida Táxi Aéreo,0,Diamantina A...,,,A2
1,02-JAN-2021,Beech 200 Super King Air,N831WP,Vagus Group,0,White Plains...,,,A2
2,09-JAN-2021,Boeing 737-524 (WL),PK-CLC,Sriwijaya Air,62,near Jakarta-Soek...,,,A1
3,09-JAN-2021,Cessna 560 Citation V,N3RB,SX Transport LLC,2,"near Pine Grove, OR",,,A1
4,12-JAN-2021,Harbin Y-12-II,,Kenyan AF,4,near Voi,,,A1
5,19-JAN-2021,Boeing 737-4Q8 (SF),G-JMCY,West Atlantic (UK),0,Exeter Airpo...,,,A2
6,23-JAN-2021,Rockwell Sabreliner 60,XB-JMR,private,0,"Rocky Point,...",,,A1
7,23-JAN-2021,Canadair Challenger 600,N275JP,Global Avionics LLC,0,Los Mochis-F...,,,A2
8,26-JAN-2021,Harbin Yunshuji Y-12E,AF-222,Zambian Air Force,0,Mukinge Miss...,,,A2
9,28-JAN-2021,Beech B300 King Air 350,N217US,MM-Air LLC,0,Davenport Ai...,,,A2
10,29-JAN-2021,Beech 100 King Air,,private,0,Crooked Tree...,,,C1
11,01-FEB-2021,Boeing 747-8KZF,JA13KZ,Nippon Cargo Airlines,0,Tokyo-Narita...,,,A2
12,08-FEB-2021,Embraer Phenom 100,9H-FAM,Luxwing,0,Paris-Le Bou...,,,A2
13,09-FEB-2021,Antonov An-12BK,RF-95416,Russian AF,0,Iturup Airpo...,,,A2
0,02-JAN-2020,Antonov An-12A,-,Sudan AF,18,near Geneina Airp...,,,A1
1,03-JAN-2020,Harbin Yunshuji Y-12 II,SCL-857,Sri Lanka AF,4,near Haputale,,,A1
2,03-JAN-2020,Hawker 900XP,N805D,Million Air San Juan,0,San Juan-Fer...,,,A1
3,04-JAN-2020,Beech B200 King Air,N200HF,"L.C. Whitford Co., Inc.",0,Morristown M...,,,A2
4,05-JAN-2020,Beech B300 King Air 350,,L3 Technologies,2,Manda Bay-Ca...,,,C1
5,08-JAN-2020,Boeing 737-8KV (WL),UR-PSR,Ukraine International Airlines,176,near Sabashahr,,,C1
6,08-JAN-2020,Boeing 737-823 (WL),N929NN,American Airlines,0,New York-La ...,,,A2
7,09-JAN-2020,Lockheed C-130BZ Hercules,403,South African AF,0,Goma Airport...,,,A1
8,10-JAN-2020,Airbus A321-231 (WL),VQ-BRS,Nordwind Airlines,0,Antalya Airp...,,,A1
9,16-JAN-2020,Beech B200 King Air,N547LM,LifeMed Alaska,0,near Unalaska-Tom...,,,A1
10,19-JAN-2020,Swearingen SA227-AC Metro III,C-GWVH,Perimeter Aviation,0,Shamattawa A...,,,A2
11,23-JAN-2020,Lockheed EC-130Q Hercules,N134CG,Coulson Aviation,3,"near Cooma, NSW",,,A1
12,23-JAN-2020,Cessna S550 Citation S/II,ZS-CAR,S.A. CAA,3,near Friemersheim,,,A1
13,24-JAN-2020,Gulfstream G150,N373ML,Compass Aviation LLC,0,San Juan-Fer...,,,A2
14,27-JAN-2020,MD-83,EP-CPZ,Caspian Airlines,0,Bandar Mahsh...,,,A1
15,27-JAN-2020,Bombardier E-11A (Global Express),11-9358,USAF,2,near Sharana FOB,,,A1
16,31-JAN-2020,Bombardier DHC-8-402Q Dash 8,C-FKWE,WestJet Encore,0,Terrace Airp...,,,A2
17,01-FEB-2020,Boeing 747-412F (SCD),TC-MCT,"ACT Airlines, opf Saudi Arabian",0,Dammam-King ...,,,A2
18,03-FEB-2020,Boeing 767-375ER,C-GHOZ,Air Canada,0,Madrid-Baraj...,,,I2
19,03-FEB-2020,Boeing 747-412BCF,N703CK,Kalitta Air,0,Los Angeles ...,,,A2
20,04-FEB-2020,Cessna 208B Grand Caravan,N454SF,Grant Aviation,0,Hooper Bay A...,,,A2
21,05-FEB-2020,Boeing 737-86J (WL),TC-IZK,Pegasus Airlines,3,Istanbul-Sab...,,,A1
22,06-FEB-2020,Cessna 208B Grand Caravan,N24MG,Redding Aero Enterprises Inc.,0,near Eureka-Murra...,,,A2
23,07-FEB-2020,Boeing 757-256 (WL),TF-FIA,Icelandair,0,Keflavík Int...,,,A2
24,07-FEB-2020,Cessna 208B Super Cargomaster,N988FX,"Mountain Air Cargo, opf FedEx",0,Baltimore/Wa...,,,A2
25,08-FEB-2020,Cessna 501 Citation I/SP,N501RG,Remonia Air,4,"near Fairmount, GA",,,A1
26,08-FEB-2020,Beech 200 Super King Air,CC-COT,Transportes Torreon,0,Rio Bueno-Fu...,,,O1
27,09-FEB-2020,Boeing 737-524 (WL),VQ-BPS,Utair,0,Usinsk Airpo...,,,A2
28,12-FEB-2020,Cessna 560 Citation Encore,N654CE,SC Cole Aviation LLC,0,"near Benbrook, TX",,,A2
29,14-FEB-2020,Cessna 208 Caravan I,P2-MAI,MAF,0,Miyanmin Air...,,,A2
30,20-FEB-2020,Antonov An-2T,RA-40642,T-Cement,0,Magadan-13 A...,,,A1
31,20-FEB-2020,Beech B200 King Air,N860J,Lauren Engineers & Constructors,3,near Lake Coleman...,,,A1
32,20-FEB-2020,Cessna 510 Citation Mustang,N163TC,private,0,Daytona Beac...,,,A2
33,21-FEB-2020,DHC-3T Vazar Turbine Otter,C-FIUZ,Harbour Air,0,Vancouver-Co...,,,O2
34,23-FEB-2020,Bombardier Challenger 605,C-GKCP,Canadian Pacific Railway,0,Calgary Inte...,,,A2
35,24-FEB-2020,Swearingen SA227-DC Metro 23,C-GJVB,"Bearskin Airlines, opb Perimeter Aviation",0,Dryden Regio...,,,A2
36,24-FEB-2020,DHC-6 Twin Otter 300,8Q-MBC,Trans Maldivian Airways,0,Kuredu Islan...,,,A2
37,25-FEB-2020,Learjet 55,N135LR,Expectra Aviation Inc.,0,Belmar/Farmi...,,,A2
38,25-FEB-2020,Boeing 737-301 (BDSF),PK-YSG,Trigana Air Service,0,Jayapura-Sen...,,,A2
39,26-FEB-2020,Antonov An-2P,UP-A0001,Orlan 2000,0,near Ust-Kamenogo...,,,A1
40,27-FEB-2020,Dassault Falcon 50,N951DJ,private,0,Toronto-Butt...,,,O1
41,28-FEB-2020,Airbus A300B4-203(F),UP-A3003,Sigma Airlines,0,Sharjah Airp...,,,A2
42,29-FEB-2020,Learjet 35A,N721EC,East Coast Jets,0,Altoona Airp...,,,A2
43,03-MAR-2020,Cessna S550 Citation S/II,N45NC,private,0,Nashville-Jo...,,,O1
44,03-MAR-2020,Dassault Falcon 2000,N519JD,"Caridad Aviation, LLC",0,Nashville-Jo...,,,O1
45,03-MAR-2020,Cessna 525C CitationJet CJ4,N989CJ,Textron,0,Nashville-Jo...,,,O1
46,03-MAR-2020,Bombardier Challenger 300,N819RS,Legacy Air LLC,0,Nashville-Jo...,,,O1
47,03-MAR-2020,Beech 200 Super King Air,N186EB,Executive Business Aviation Inc,0,Nashville-Jo...,,,O1
48,05-MAR-2020,Cessna 208B Super Cargomaster,N706FX,"FedEx, opb CSA Air",0,Rhinelander-...,,,A1
49,06-MAR-2020,DHC-6 Vistaliner 300,N72GC,Grand Canyon Airlines,0,Boulder City...,,,A2
50,08-MAR-2020,Boeing 767-3Q8ER,N477AX,Omni Air International,0,Shannon Airp...,,,A2
51,09-MAR-2020,Gulfstream G-IVSP,M-YWAY,"Platinum Jet Co., Ltd.",0,Vientiane-Wa...,,,A2
52,09-MAR-2020,Airbus A330-343,HS-TEU,Thai Airways International,0,Vientiane-Wa...,,,A2
53,12-MAR-2020,Beech 200 Super King Air,HK-5075,private,2,Claura Arrib...,,,A1
54,12-MAR-2020,DHC-3T Vazar Turbine Otter,C-GTMW,Martini Aviation Ltd.,0,Fort Langley...,,,A2
55,13-MAR-2020,Cessna 525 CitationJet,YV3452,Unknown,2,Porlamar-del...,,,A1
56,14-MAR-2020,Raytheon Hawker 800XP,N100AG,Gemini Air Group,0,Phoenix-Scot...,,,A1
57,17-MAR-2020,Cessna 208B Super Cargomaster,N274PM,Planemasters,1,"near La Crosse, R...",,,A1
58,19-MAR-2020,Cessna 208 Caravan I,P2-MAF,MAF,0,Yenkisa Airs...,,,A2
59,22-MAR-2020,Hawker Siddeley HS-125-F400B,(XB-PNK),private,0,near Caballo Blan...,,,A1
60,29-MAR-2020,IAI 1124A Westwind II,RP-C5880,Lionair Inc.,8,Manila-Ninoy...,,,A1
61,05-APR-2020,Antonov An-26,UP-AN601,Libyan National Army,,near Tarhuna,,,C1
62,19-APR-2020,BAe-125-700A,N700NW,private,2,"near Las Cruces, ...",,,A1
63,20-APR-2020,BAe-125-800A,N375TC,private,0,Laguna del T...,,,C1
64,24-APR-2020,IAI 1125 Astra SP,YV3427,Inversiones SC 2012,0,Fort Lauderd...,,,A2
65,28-APR-2020,Beech A100 King Air,C-FCBZ,Buffalo Airways,0,Kugaaruk Air...,,,A2
66,02-MAY-2020,Beech B200 Super King Air,C-GSAE,Province of Saskatchewan,0,near Lloydminster...,,,A2
67,04-MAY-2020,Embraer EMB-120RT Brasilia,5Y-AXO,African Express Airways,6,near Bardale Airs...,,,C1
68,04-MAY-2020,Learjet 25D,LV-WOC,Dos Mil Aerosistema SA,0,San Fernando...,,,O2
69,05-MAY-2020,Learjet 35A,LV-BXU,Cabiline SA,3,near Esquel Airpo...,,,A1
70,07-MAY-2020,Hawker Siddeley HS-125,XB-RBF,private,0,southern Zul...,,,C1
71,08-MAY-2020,Beech 1900C,N31704,Ameriflight,0,San Antonio ...,,,A2
72,09-MAY-2020,Learjet 60XR,5A-UAE,United Aviation,0,Tripoli-Miti...,,,C1
73,09-MAY-2020,Ilyushin Il-78,no reg.,Libyan Air Force,0,Tripoli-Miti...,,,C1
74,16-MAY-2020,Let L-410MA,RA-67066,Unknown,0,Ulang Airstrip,,,A2
75,19-MAY-2020,Boeing 737-8Q8 (WL),N820TJ,Swift Air,0,near Victorville-...,,,A2
76,20-MAY-2020,Cessna 501 Citation I/SP,N501KM,McWilliams LLC,0,Houston Inte...,,,A2
77,21-MAY-2020,Embraer C-95BM Bandeirante (EMB-110,FAB2347,Brazilian AF,0,Natal Air Fo...,,,A2
78,22-MAY-2020,Airbus A320-214,AP-BLD,PIA,97+ 1,near Karachi-Jinn...,,,A1
79,26-MAY-2020,Beech 200 Super King Air,,private,0,"near Morocoy, Qui...",,,C1
80,28-MAY-2020,BAe-125-700A,N720PT,private,0,near Sarteneja,,,A1
81,30-MAY-2020,Beech 200 Super King Air,,private,0,Región Costa...,,,C1
82,30-MAY-2020,DHC-6 Twin Otter 100,N52FW,"Kapowsin Air Sports, opf Skydive San Diego",0,San Diego-Br...,,,A2
83,08-JUN-2020,Lockheed C-130H3 Hercules,94-6706,USAF,0,Al Taji Army...,,,A1
84,13-JUN-2020,Beech 300 Super King Air 350,N858UP,Gama Aviation Signature,0,Bedford-Hans...,,,A2
85,14-JUN-2020,Airbus A320-271N,VP-BWC,S7 Airlines,0,Saint Peters...,,,A2
86,14-JUN-2020,Airbus A320-232,VP-BDL,Ural Airlines,0,Saint Peters...,,,A2
87,15-JUN-2020,Grumman G-1159 Gulfstream II,N27SL,private,1,Machiques de...,,,C1
88,16-JUN-2020,DHC-8-402Q Dash 8,G-JECK,Nordic Aviation Capital,0,Aberdeen-Dyc...,,,A2
89,19-JUN-2020,Gulfstream American G-1159A Gulfstr,N516TR,private,0,"El Chico, Re...",,,C1
90,02-JUL-2020,Grumman G-1159 Gulfstream II SP,XB-NRX,private,0,Mapastepec,,,C1
91,05-JUL-2020,BAe-125-700A,XB-RCM,private,0,near José Maria M...,,,C1
92,07-JUL-2020,Hawker 800XP,N339AV,private,0,within Venez...,,,C1
93,13-JUL-2020,Antonov An-2R,RA-40851,Zeus-Avia,2,"near Kistenevo, B...",,,A1
94,13-JUL-2020,BN-2A-27 Islander,N200MU,Tropic Air Charters,0,Fort Lauderd...,,,A2
95,14-JUL-2020,DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0,Beledweyne-U...,,,A1
96,15-JUL-2020,Beech B300 King Air 350i,EM-809,Turkish Police,7,near Van-Ferit Me...,,,A1
97,17-JUL-2020,Beech 200 Super King Air,C-FSKQ,Skyjet Aviation,0,Rouyn Airpor...,,,A2
98,19-JUL-2020,Antonov An-2R,RA-71276,Phoenix,,Buryatia region,,,A1
99,20-JUL-2020,Beech B200 Super King Air,N740P,private,0,near Brus Laguna,,,C1
0,07-JAN-2019,Saab 340B,YL-RAF,RAF-AVIA,0,Savonlinna A...,,,A2
1,12-JAN-2019,Canadair Challenger 601,N813WT,TW 601-C Investment,0,Uvalde-Ox Ra...,,,A1
2,14-JAN-2019,Boeing 707-3J9C,EP-CPP,"Iran AF, op.for Saha Air",15,Fat'h Airport,,,A1
3,16-JAN-2019,Cessna 208B Grand Caravan,8R-YAC,ASL,0,Georgetown-O...,,,A2
4,21-JAN-2019,AMI DC-3-65TP,N467KS,Priority Air Charter,2,near Kidron-Stolt...,,,A1
5,21-JAN-2019,Boeing 737-330 (QC),9S-AHJ,Serve Air,0,Kinshasa-N'D...,,,A2
6,22-JAN-2019,Boeing 737-8LJ (WL),VP-BRR,Aeroflot,0,Khanty-Mansi...,,,H2
7,23-JAN-2019,DHC-8-102 Dash 8,C-GTCO,Air Creebec,0,Rouyn Airpor...,,,A2
8,26-JAN-2019,Airbus A321-231,TC-OEB,Onur Air,0,Antalya Airp...,,,O1
9,28-JAN-2019,ATR 72-212A (ATR 72-500),EC-LYJ,"Air Europa, opb Swiftair",0,Palma de Mal...,,,A2
10,28-JAN-2019,Boeing 727-2B6F Adv.,N720CK,Kalitta Charters,0,Tuscaloosa R...,,,A2
11,29-JAN-2019,Beech B200 King Air,N13LY,Guardian Flight,3,"near Kake, AK",,,A1
12,30-JAN-2019,Beech 200 Super King Air,C-GTUC,Air Tindi,2,near Whatì/Lac La...,,,A1
13,04-FEB-2019,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",0,Khartoum-Civ...,,,H2
14,08-FEB-2019,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,1,near Bay Harbor I...,,,A1
15,08-FEB-2019,Airbus A321-251N,SE-RKA,Novair,0,Billund Airp...,,,A2
